time,heartrate,watts,temperature,interval
0,90,171,kald,0
1,88,177,kald,0
2,88,117,kald,0
3,92,180,kald,0
4,89,158,kald,0
5,93,160,kald,0
6,95,162,kald,0
7,95,161,kald,0
8,95,165,kald,0
9,95,163,kald,0
10,96,161,kald,0
11,95,163,kald,0
12,95,163,kald,0
13,94,162,kald,0
14,94,159,kald,0
15,98,152,kald,0
16,101,155,kald,0
17,102,157,kald,0
18,104,158,kald,0
19,108,113,kald,0
20,107,142,kald,0
21,107,144,kald,0
22,106,144,kald,0
23,105,152,kald,0
24,102,166,kald,0
25,101,165,kald,0
26,104,157,kald,0
27,107,152,kald,0
28,108,152,kald,0
29,109,156,kald,0
30,111,130,kald,0
31,111,137,kald,0
32,111,145,kald,0
33,111,138,kald,0
34,111,145,kald,0
35,109,145,kald,0
36,108,145,kald,0
37,108,141,kald,0
38,108,147,kald,0
39,108,145,kald,0
40,103,145,kald,0
41,102,146,kald,0
42,102,145,kald,0
43,105,146,kald,0
44,110,147,kald,0
45,111,144,kald,0
46,113,145,kald,0
47,109,145,kald,0
48,109,144,kald,0
49,107,147,kald,0
50,110,145,kald,0
51,110,141,kald,0
52,112,140,kald,0
53,114,146,kald,0
54,115,143,kald,0
55,116,144,kald,0
56,115,145,kald,0
57,115,145,kald,0
58,115,148,kald,0
59,114,145,kald,0
60,115,147,kald,0
61,116,145,kald,0
62,118,141,kald,0
63,120,145,kald,0
64,120,145,kald,0
65,120,146,kald,0
66,119,145,kald,0
67,119,145,kald,0
68,119,138,kald,0
69,119,145,kald,0
70,115,146,kald,0
71,115,146,kald,0
72,114,146,kald,0
73,111,144,kald,0
74,112,146,kald,0
75,111,145,kald,0
76,109,146,kald,0
77,110,145,kald,0
78,110,145,kald,0
79,108,145,kald,0
80,110,143,kald,0
81,109,144,kald,0
82,109,146,kald,0
83,112,146,kald,0
84,112,146,kald,0
85,111,145,kald,0
86,112,145,kald,0
87,111,145,kald,0
88,108,141,kald,0
89,108,145,kald,0
90,107,146,kald,0
91,108,146,kald,0
92,107,146,kald,0
93,109,145,kald,0
94,110,144,kald,0
95,108,145,kald,0
96,108,144,kald,0
97,109,138,kald,0
98,109,144,kald,0
99,108,145,kald,0
100,108,144,kald,0
101,108,144,kald,0
102,108,145,kald,0
103,112,146,kald,0
104,113,146,kald,0
105,112,145,kald,0
106,113,146,kald,0
107,112,146,kald,0
108,112,144,kald,0
109,114,144,kald,0
110,113,146,kald,0
111,112,144,kald,0
112,113,141,kald,0
113,112,145,kald,0
114,111,144,kald,0
115,110,144,kald,0
116,110,121,kald,0
117,110,0,kald,0
118,111,0,kald,0
119,109,10,kald,0
120,109,44,kald,0
121,108,190,kald,0
122,110,156,kald,0
123,110,155,kald,0
124,110,145,kald,0
125,112,147,kald,0
126,112,149,kald,0
127,113,152,kald,0
128,112,146,kald,0
129,112,145,kald,0
130,113,146,kald,0
131,110,146,kald,0
132,111,146,kald,0
133,111,144,kald,0
134,110,146,kald,0
135,111,143,kald,0
136,112,144,kald,0
137,112,146,kald,0
138,115,146,kald,0
139,114,146,kald,0
140,111,145,kald,0
141,111,146,kald,0
142,110,143,kald,0
143,108,145,kald,0
144,109,145,kald,0
145,109,142,kald,0
146,110,144,kald,0
147,113,142,kald,0
148,110,145,kald,0
149,110,145,kald,0
150,108,145,kald,0
151,109,145,kald,0
152,109,146,kald,0
153,112,141,kald,0
154,114,147,kald,0
155,114,145,kald,0
156,113,154,kald,0
157,113,151,kald,0
158,115,146,kald,0
159,116,143,kald,0
160,117,146,kald,0
161,115,145,kald,0
162,113,145,kald,0
163,112,145,kald,0
164,110,145,kald,0
165,110,145,kald,0
166,112,145,kald,0
167,112,146,kald,0
168,111,148,kald,0
169,112,145,kald,0
170,112,145,kald,0
171,111,148,kald,0
172,111,148,kald,0
173,112,148,kald,0
174,114,152,kald,0
175,115,153,kald,0
176,117,143,kald,0
177,117,145,kald,0
178,119,145,kald,0
179,119,145,kald,0
180,117,147,kald,0
181,117,145,kald,0
182,117,146,kald,0
183,116,145,kald,0
184,115,145,kald,0
185,114,148,kald,0
186,114,147,kald,0
187,114,144,kald,0
188,114,147,kald,0
189,115,146,kald,0
190,116,141,kald,0
191,115,144,kald,0
192,114,146,kald,0
193,115,146,kald,0
194,115,145,kald,0
195,113,146,kald,0
196,114,145,kald,0
197,113,144,kald,0
198,113,145,kald,0
199,113,144,kald,0
200,115,146,kald,0
201,115,146,kald,0
202,116,146,kald,0
203,118,146,kald,0
204,118,143,kald,0
205,118,143,kald,0
206,117,144,kald,0
207,116,141,kald,0
208,117,138,kald,0
209,116,128,kald,0
210,117,147,kald,0
211,117,146,kald,0
212,119,147,kald,0
213,117,145,kald,0
214,118,146,kald,0
215,118,145,kald,0
216,117,147,kald,0
217,118,145,kald,0
218,118,146,kald,0
219,117,147,kald,0
220,117,151,kald,0
221,117,151,kald,0
222,119,149,kald,0
223,118,142,kald,0
224,119,138,kald,0
225,119,146,kald,0
226,120,145,kald,0
227,120,141,kald,0
228,120,144,kald,0
229,119,150,kald,0
230,120,147,kald,0
231,119,145,kald,0
232,120,145,kald,0
233,118,145,kald,0
234,118,144,kald,0
235,117,146,kald,0
236,117,146,kald,0
237,116,146,kald,0
238,117,145,kald,0
239,116,145,kald,0
240,115,147,kald,0
241,116,145,kald,0
242,117,146,kald,0
243,115,147,kald,0
244,117,144,kald,0
245,116,145,kald,0
246,116,148,kald,0
247,116,144,kald,0
248,118,145,kald,0
249,120,145,kald,0
250,119,145,kald,0
251,117,146,kald,0
252,115,146,kald,0
253,117,145,kald,0
254,117,144,kald,0
255,117,146,kald,0
256,115,145,kald,0
257,117,144,kald,0
258,116,144,kald,0
259,118,145,kald,0
260,118,145,kald,0
261,118,146,kald,0
262,120,140,kald,0
263,120,144,kald,0
264,118,147,kald,0
265,118,147,kald,0
266,117,144,kald,0
267,117,144,kald,0
268,117,145,kald,0
269,117,145,kald,0
270,119,144,kald,0
271,119,145,kald,0
272,119,146,kald,0
273,119,145,kald,0
274,118,146,kald,0
275,118,145,kald,0
276,117,150,kald,0
277,117,145,kald,0
278,117,146,kald,0
279,117,148,kald,0
280,119,149,kald,0
281,120,150,kald,0
282,121,152,kald,0
283,121,153,kald,0
284,120,152,kald,0
285,119,151,kald,0
286,118,154,kald,0
287,118,150,kald,0
288,118,153,kald,0
289,118,144,kald,0
290,118,147,kald,0
291,118,145,kald,0
292,116,147,kald,0
293,117,141,kald,0
294,118,147,kald,0
295,119,145,kald,0
296,119,152,kald,0
297,119,148,kald,0
298,117,152,kald,0
299,117,151,kald,0
300,119,151,kald,0
301,120,151,kald,0
302,121,147,kald,0
303,121,148,kald,0
304,121,136,kald,0
305,120,144,kald,0
306,120,145,kald,0
307,120,147,kald,0
308,120,148,kald,0
309,121,145,kald,0
310,121,145,kald,0
311,121,145,kald,0
312,122,145,kald,0
313,122,152,kald,0
314,122,154,kald,0
315,122,153,kald,0
316,121,152,kald,0
317,122,148,kald,0
318,121,147,kald,0
319,122,148,kald,0
320,122,151,kald,0
321,123,150,kald,0
322,122,147,kald,0
323,122,151,kald,0
324,119,148,kald,0
325,120,147,kald,0
326,119,148,kald,0
327,119,149,kald,0
328,119,149,kald,0
329,120,148,kald,0
330,122,150,kald,0
331,123,145,kald,0
332,122,146,kald,0
333,123,142,kald,0
334,123,147,kald,0
335,122,148,kald,0
336,120,148,kald,0
337,120,149,kald,0
338,120,150,kald,0
339,122,148,kald,0
340,124,150,kald,0
341,125,149,kald,0
342,125,148,kald,0
343,126,148,kald,0
344,126,148,kald,0
345,127,148,kald,0
346,130,149,kald,0
347,131,147,kald,0
348,131,144,kald,0
349,130,148,kald,0
350,129,155,kald,0
351,129,151,kald,0
352,129,126,kald,0
353,129,145,kald,0
354,128,145,kald,0
355,127,146,kald,0
356,126,145,kald,0
357,125,146,kald,0
358,124,145,kald,0
359,123,144,kald,0
360,121,146,kald,0
361,122,140,kald,0
362,122,147,kald,0
363,122,148,kald,0
364,124,145,kald,0
365,125,148,kald,0
366,125,148,kald,0
367,125,145,kald,0
368,126,141,kald,0
369,127,145,kald,0
370,127,145,kald,0
371,126,145,kald,0
372,126,146,kald,0
373,126,145,kald,0
374,124,146,kald,0
375,124,145,kald,0
376,122,148,kald,0
377,123,141,kald,0
378,121,145,kald,0
379,123,146,kald,0
380,123,146,kald,0
381,124,142,kald,0
382,124,146,kald,0
383,123,141,kald,0
384,121,144,kald,0
385,123,144,kald,0
386,122,146,kald,0
387,124,146,kald,0
388,125,145,kald,0
389,123,145,kald,0
390,122,144,kald,0
391,123,144,kald,0
392,124,143,kald,0
393,125,139,kald,0
394,125,152,kald,0
395,127,139,kald,0
396,128,147,kald,0
397,128,149,kald,0
398,128,146,kald,0
399,128,147,kald,0
400,127,146,kald,0
401,127,147,kald,0
402,127,146,kald,0
403,128,140,kald,0
404,127,146,kald,0
405,126,146,kald,0
406,126,144,kald,0
407,125,139,kald,0
408,124,144,kald,0
409,124,144,kald,0
410,124,147,kald,0
411,122,141,kald,0
412,122,146,kald,0
413,121,144,kald,0
414,118,145,kald,0
415,120,144,kald,0
416,120,145,kald,0
417,120,122,kald,0
418,118,138,kald,0
419,117,144,kald,0
420,116,145,kald,0
421,116,145,kald,0
422,116,145,kald,0
423,116,149,kald,0
424,118,149,kald,0
425,120,145,kald,0
426,121,145,kald,0
427,123,145,kald,0
428,125,147,kald,0
429,125,147,kald,0
430,129,146,kald,0
431,132,145,kald,0
432,130,144,kald,0
433,126,151,kald,0
434,124,145,kald,0
435,126,141,kald,0
436,127,145,kald,0
437,126,145,kald,0
438,127,140,kald,0
439,127,145,kald,0
440,127,144,kald,0
441,122,146,kald,0
442,122,144,kald,0
443,125,141,kald,0
444,123,145,kald,0
445,123,144,kald,0
446,121,145,kald,0
447,118,144,kald,0
448,118,141,kald,0
449,117,145,kald,0
450,117,148,kald,0
451,116,145,kald,0
452,117,145,kald,0
453,117,143,kald,0
454,117,145,kald,0
455,116,147,kald,0
456,113,144,kald,0
457,113,146,kald,0
458,114,140,kald,0
459,116,141,kald,0
460,117,144,kald,0
461,118,150,kald,0
462,119,146,kald,0
463,120,145,kald,0
464,121,145,kald,0
465,121,146,kald,0
466,122,146,kald,0
467,120,147,kald,0
468,120,144,kald,0
469,119,140,kald,0
470,120,146,kald,0
471,119,141,kald,0
472,118,145,kald,0
473,120,147,kald,0
474,119,145,kald,0
475,119,146,kald,0
476,119,145,kald,0
477,123,145,kald,0
478,123,145,kald,0
479,122,146,kald,0
480,121,146,kald,0
481,119,144,kald,0
482,118,146,kald,0
483,117,145,kald,0
484,117,145,kald,0
485,117,144,kald,0
486,120,144,kald,0
487,121,140,kald,0
488,121,146,kald,0
489,121,144,kald,0
490,122,143,kald,0
491,122,152,kald,0
492,124,149,kald,0
493,124,144,kald,0
494,124,139,kald,0
495,125,141,kald,0
496,122,145,kald,0
497,121,145,kald,0
498,121,144,kald,0
499,122,140,kald,0
500,121,145,kald,0
501,120,145,kald,0
502,119,146,kald,0
503,121,145,kald,0
504,122,148,kald,0
505,123,145,kald,0
506,122,146,kald,0
507,121,146,kald,0
508,119,146,kald,0
509,117,145,kald,0
510,117,144,kald,0
511,117,144,kald,0
512,116,151,kald,0
513,116,148,kald,0
514,115,147,kald,0
515,115,147,kald,0
516,116,148,kald,0
517,116,148,kald,0
518,115,142,kald,0
519,114,146,kald,0
520,113,145,kald,0
521,111,147,kald,0
522,113,145,kald,0
523,116,145,kald,0
524,115,146,kald,0
525,116,146,kald,0
526,115,138,kald,0
527,115,144,kald,0
528,116,146,kald,0
529,115,149,kald,0
530,116,146,kald,0
531,117,146,kald,0
532,117,146,kald,0
533,117,147,kald,0
534,118,145,kald,0
535,119,146,kald,0
536,120,144,kald,0
537,122,145,kald,0
538,121,145,kald,0
539,119,147,kald,0
540,119,141,kald,0
541,119,146,kald,0
542,120,142,kald,0
543,123,145,kald,0
544,124,146,kald,0
545,126,145,kald,0
546,126,144,kald,0
547,126,145,kald,0
548,126,146,kald,0
549,126,145,kald,0
550,127,147,kald,0
551,126,142,kald,0
552,126,145,kald,0
553,126,144,kald,0
554,126,146,kald,0
555,126,146,kald,0
556,126,144,kald,0
557,128,146,kald,0
558,127,144,kald,0
559,127,145,kald,0
560,126,146,kald,0
561,123,144,kald,0
562,122,146,kald,0
563,124,145,kald,0
564,126,145,kald,0
565,128,146,kald,0
566,129,146,kald,0
567,128,145,kald,0
568,126,139,kald,0
569,126,145,kald,0
570,120,144,kald,0
571,120,145,kald,0
572,120,141,kald,0
573,121,145,kald,0
574,122,141,kald,0
575,122,145,kald,0
576,124,143,kald,0
577,122,147,kald,0
578,124,146,kald,0
579,124,145,kald,0
580,127,146,kald,0
581,128,144,kald,0
582,128,145,kald,0
583,128,144,kald,0
584,128,144,kald,0
585,128,146,kald,0
586,129,145,kald,0
587,129,146,kald,0
588,128,145,kald,0
589,126,147,kald,0
590,126,145,kald,0
591,126,145,kald,0
592,126,146,kald,0
593,126,141,kald,0
594,128,144,kald,0
595,128,147,kald,0
596,128,147,kald,0
597,127,146,kald,0
598,126,146,kald,0
599,125,145,kald,0
600,125,147,kald,0
601,125,146,kald,0
602,127,147,kald,0
603,130,145,kald,0
604,130,128,kald,0
605,131,16,kald,0
606,131,25,kald,0
607,131,0,kald,0
608,131,0,kald,0
609,131,0,kald,0
610,132,0,kald,0
611,132,0,kald,0
612,133,0,kald,0
613,132,0,kald,0
614,131,0,kald,0
615,128,0,kald,0
616,126,0,kald,0
617,123,0,kald,0
618,124,0,kald,0
619,124,0,kald,0
620,124,0,kald,0
621,123,0,kald,0
622,122,0,kald,0
623,120,0,kald,0
624,119,0,kald,0
625,117,0,kald,0
626,113,0,kald,0
627,112,0,kald,0
628,111,0,kald,0
629,110,0,kald,0
630,113,0,kald,0
631,114,0,kald,0
632,114,0,kald,0
633,114,95,kald,0
634,114,151,kald,0
635,117,122,kald,0
636,117,132,kald,0
637,119,132,kald,0
638,118,131,kald,0
639,118,132,kald,0
640,118,132,kald,0
641,118,136,kald,0
642,118,132,kald,0
643,119,132,kald,0
644,120,130,kald,0
645,121,130,kald,0
646,121,130,kald,0
647,120,139,kald,0
648,118,17,kald,0
649,119,0,kald,0
650,119,0,kald,0
651,118,0,kald,0
652,117,9,kald,0
653,117,0,kald,0
654,118,0,kald,0
655,119,0,kald,0
656,119,0,kald,0
657,119,0,kald,0
658,119,0,kald,0
659,120,0,kald,0
749,107,64,kald,0
750,109,56,kald,0
751,110,65,kald,0
752,111,88,kald,0
753,108,102,kald,0
754,108,140,kald,0
755,104,131,kald,0
756,103,141,kald,0
757,104,140,kald,0
758,105,136,kald,0
759,110,145,kald,0
760,114,144,kald,0
761,115,140,kald,0
762,117,143,kald,0
763,120,145,kald,0
764,121,144,kald,0
765,123,145,kald,0
766,126,143,kald,0
767,126,144,kald,0
768,126,144,kald,0
769,126,140,kald,0
770,126,141,kald,0
771,126,151,kald,0
772,128,147,kald,0
773,129,148,kald,0
774,130,142,kald,0
775,132,132,kald,0
776,132,143,kald,0
777,133,138,kald,0
778,136,135,kald,0
779,136,132,kald,0
780,135,138,kald,0
781,136,139,kald,0
782,135,130,kald,0
783,137,135,kald,0
784,138,135,kald,0
785,137,134,kald,0
786,137,134,kald,0
787,136,136,kald,0
788,134,136,kald,0
789,134,138,kald,0
790,134,138,kald,0
791,134,140,kald,0
792,134,139,kald,0
793,134,134,kald,0
794,135,134,kald,0
795,134,133,kald,0
796,134,136,kald,0
797,133,141,kald,0
798,133,139,kald,0
799,130,136,kald,0
800,130,131,kald,0
801,129,141,kald,0
802,129,139,kald,0
803,129,140,kald,0
804,130,136,kald,NA
805,132,136,kald,1
806,132,134,kald,1
807,131,139,kald,1
808,131,139,kald,1
809,129,135,kald,1
810,129,132,kald,1
811,128,133,kald,1
812,127,152,kald,1
813,126,138,kald,1
814,127,142,kald,1
815,127,134,kald,1
816,127,136,kald,1
817,127,135,kald,1
818,128,134,kald,1
819,129,136,kald,1
820,130,136,kald,1
821,132,132,kald,1
822,132,134,kald,1
823,132,134,kald,1
824,132,134,kald,1
825,132,187,kald,1
826,132,233,kald,1
827,135,193,kald,1
828,138,208,kald,1
829,138,211,kald,1
830,139,219,kald,1
831,139,216,kald,1
832,138,209,kald,1
833,138,214,kald,1
834,138,215,kald,1
835,138,211,kald,1
836,138,215,kald,1
837,138,215,kald,1
838,138,218,kald,1
839,138,215,kald,1
840,139,215,kald,1
841,139,216,kald,1
842,139,215,kald,1
843,138,215,kald,1
844,139,215,kald,1
845,138,212,kald,1
846,139,219,kald,1
847,139,216,kald,1
848,139,219,kald,1
849,140,216,kald,1
850,139,210,kald,1
851,138,214,kald,1
852,138,218,kald,1
853,139,210,kald,1
854,139,211,kald,1
855,139,211,kald,1
856,139,214,kald,1
857,140,218,kald,1
858,140,218,kald,1
859,140,215,kald,1
860,140,211,kald,1
861,142,215,kald,1
862,142,217,kald,1
863,142,215,kald,1
864,142,215,kald,1
865,142,215,kald,1
866,143,214,kald,1
867,142,214,kald,1
868,142,218,kald,1
869,145,215,kald,1
870,146,215,kald,1
871,146,216,kald,1
872,145,214,kald,1
873,144,215,kald,1
874,144,215,kald,1
875,144,215,kald,1
876,142,214,kald,1
877,143,214,kald,1
878,143,214,kald,1
879,143,215,kald,1
880,144,214,kald,1
881,143,215,kald,1
882,143,215,kald,1
883,143,218,kald,1
884,144,215,kald,1
885,143,215,kald,1
886,144,214,kald,1
887,144,216,kald,1
888,145,218,kald,1
889,145,215,kald,1
890,146,212,kald,1
891,146,216,kald,1
892,147,215,kald,1
893,147,219,kald,1
894,147,217,kald,1
895,146,220,kald,1
896,147,209,kald,1
897,148,214,kald,1
898,148,214,kald,1
899,149,211,kald,1
900,149,213,kald,1
901,149,213,kald,1
902,150,211,kald,1
903,150,214,kald,1
904,150,215,kald,1
905,148,214,kald,1
906,150,214,kald,1
907,150,215,kald,1
908,150,216,kald,1
909,149,214,kald,1
910,150,214,kald,1
911,149,215,kald,1
912,150,214,kald,1
913,150,214,kald,1
914,151,218,kald,1
915,150,215,kald,1
916,151,217,kald,1
917,150,215,kald,1
918,152,208,kald,1
919,151,217,kald,1
920,152,213,kald,1
921,152,215,kald,1
922,153,213,kald,1
923,152,213,kald,1
924,152,215,kald,1
925,152,215,kald,1
926,151,215,kald,1
927,151,216,kald,1
928,151,215,kald,1
929,151,218,kald,1
930,151,214,kald,1
931,152,214,kald,1
932,152,216,kald,1
933,153,214,kald,1
934,152,214,kald,1
935,152,215,kald,1
936,153,214,kald,1
937,153,213,kald,1
938,153,215,kald,1
939,153,215,kald,1
940,153,217,kald,1
941,152,216,kald,1
942,152,211,kald,1
943,154,215,kald,1
944,155,216,kald,1
945,156,216,kald,1
946,157,214,kald,1
947,158,211,kald,1
